authors,bestsellers-rank,categories,description,dimension-x,dimension-y,dimension-z,edition,edition-statement,for-ages,format,id,illustrations-note,image-checksum,image-path,image-url,imprint,index-date,isbn10,isbn13,lang,publication-date,publication-place,rating-avg,rating-count,title,url,weight
[514],102284.0,"[214, 228, 235, 3386, 718, 720, 739, 1190, 1520]","When a skeleton is all that's left to tell the story of a crime, Mary H. Manhein, otherwise known as the bone lady, is called in. For almost two decades, Manhein has used her expertise in forensic pathology to help law enforcement agents--locally, nationally, and internationally--solve their most perplexing mysteries. She shares the extraordinary details of the often high-profile cases on which she works, and the science underlying her analyses. Here are Civil War skeletons, cases of alleged voodoo and witchcraft, crimes of political intrigue, and the before-and-after of facial reconstruction. Written with the compassion and humor of a born storyteller, The Bone Lady is an unforgettable glimpse into the lab where one scientist works to reveal the human stories behind the remains.",129.03,196.6,10.92,,Reissue,,1.0,9780140291926,,e50550775b7d791b7e5029a1e72eff2e,full/d/2/a/d2a165ac0e551a7fc24a6d68f232bac6e5ec3b8c.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1402/9780140291926.jpg,,,014029192X,9780140291926,en,2000-07-27 00:00:00,,3.66,1067.0,The Bone Lady: Life as a Forensic Anthropologist,/Bone-Lady-Life-Forensic-Anthropologist-Mary-H-Manhein/9780140291926,127.01
[1121],837995.0,"[235, 3386, 840, 3112, 2452]",Picador reissue.,130.0,197.0,21.0,New edition,New edition,,1.0,9780330300582,,db1baddba36d5923cde10e74ed4e3f2d,full/4/8/7/487907eb8cfb96b84f6b87864eb5e571076485b6.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3303/9780330300582.jpg,PICADOR,,033030058X,9780330300582,en,1995-05-05 00:00:00,,3.78,185.0,Arabia Through the Looking Glass,/Arabia-Through-Looking-Glass-Jonathan-Raban/9780330300582,230.0
[2306],,"[2862, 2865, 2866]","Bobbie Hinman has done it again. For the growing number of people who know the health benefits of meatless meals, Bobbie offersThe Meatless Gourmet: Easy Lowfat Favorites to her long list of healthful cookbooks. Not only for vegetarians, this cookbook is for health-conscious people who want to enjoy meatless meals, whether occasionally or every day.",152.4,220.0,31.75,,,,2.0,9781559585590,,3b3434ee375139f1d6fd0d22a89fd963,full/1/8/b/18b7fde7ac7f0a035069cdbcd63e4d5937c28897.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5595/9781559585590.jpg,,,1559585595,9781559585590,en,1995-07-31 00:00:00,,3.92,12.0,The Meatless Gourmet : Favorite Recipes from Around the World,/Meatless-Gourmet-Bobbie-Hinman/9781559585590,583.0
[2787],,"[1459, 2999]","In this guide, Celeste Yarnall examines nutrition as preventative medicine, vitamins and mineral supplements, and herbal remedies and homeopathic treatments for dogs. It also includes a complete section on the astrological dog to help you see how an understanding of your canine's sun sign can provide special insight into caring for your pet.",152.0,228.0,31.75,,,,1.0,9781885203472,b&w,8ec768d9456733f6fdd2330e580388b5,full/e/5/1/e513d7bafc872ec42e26a41c5e1eb1e81899d598.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8852/9781885203472.jpg,,,1885203470,9781885203472,en,1998-07-01 00:00:00,,2.8,5.0,Natural Dog Care : Celeste Yarnall's Complete Guide to Holistic Health Care for Dogs,/Natural-Dog-Care-Celeste-Yarnall/9781885203472,589.67
[2788],,"[2740, 666, 840, 1462, 2987]","Discusses the organization, its leader, and their struggles against the use of animals in laboratories and in the food industry",139.7,220.0,25.4,,,,1.0,9781879360112,8ill.,d9f083c9c171c71b1df27f6dc2d66ba1,full/3/c/7/3c71acbe781056a667ae935d58a5e7151b59f48b.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8793/9781879360112.jpg,,,187936011X,9781879360112,en,1993-06-11 00:00:00,,4.0,1.0,Free the Animals! : Untold Story of the US Animal Liberation Front,/Free-Animals-Ingrid-Newkirk/9781879360112,
"[2878, 2879]",815818.0,"[3120, 3121, 3178]",A Passionate Call to Obedience in Action.,138.0,201.0,9.0,,,,1.0,9780875084015,,241179e42366f2351627cd2f0a04dbc3,full/9/6/1/9610b14b00c89f6ac63e9a28292320bfd0bd0253.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/8750/9780875084015.jpg,,,087508401X,9780875084015,en,1981-12-01 00:00:00,,4.25,52.0,Key to the Missionary Problem,/Key-Missionary-Problem-Andrew-Murray/9780875084015,186.0
[701],3202127.0,"[2865, 2875, 2881]","From soups and cold salads to hearty main dishes and lighter fare, pasta lovers are invited to take a virtual around-the-world tour with pasta in this vegetarian cookery guide.",178.0,203.0,14.48,,,,1.0,9781570670664,,433dd212efa56623a5bf20c3c045e2ae,full/e/d/5/ed50ffa177c8fc2a53114c9323413e649e4b5bec.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5706/9781570670664.jpg,,,1570670668,9781570670664,en,1999-01-01 00:00:00,,4.29,7.0,Pasta East to West : A Vegetarian World Tour,/Pasta-East-West-Nava-Atlas/9781570670664,322.05
[4664],923533.0,"[3121, 3168]","Esta obra aborda el tema del sufrimiento con sensi-bilidad, compasisn y discernimiento. El doctor Dobson trata con las profundas luchas emocionales que tenemos en nuestra relacisn con Dios cuando golpean el dolor y el sufrimiento - Dr. R.C. Sproul",137.0,208.0,18.0,,,,1.0,9781560634584,,99349f1c818d3e3a6bd96851c1c6ee1f,full/b/1/e/b1e7f1109abceee473fd8a9717ee3f6605add270.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5606/9781560634584.jpg,,,1560634588,9781560634584,en,1993-10-01 00:00:00,,4.17,1513.0,Cuando Lo Que Dios Hace No Tiene Sentido : When God Doesn't Make Sense,/Cuando-Lo-Que-Dios-Hace-No-Tiene-Sentido-Dr-James-C-Dobson/9781560634584,295.0
[4860],,[2865],"Here is a fresh approach to vegetarian cooking with innovative recipes for snacks, soups, main courses, and desserts.",222.25,285.75,19.05,,Reprint,,1.0,9781551107523,,867d773fc64df9c697cd3ad6e6f34d80,full/9/c/f/9cf1704197fcf2499fb381e3792677862a9d5843.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5511/9781551107523.jpg,Whitecap Books,,155110752X,9781551107523,en,1998-12-01 00:00:00,,3.79,172.0,Essential Vegetarian Cookbook,/Essential-Vegetarian-Cookbook-Whitecap-Books/9781551107523,1247.38
"[5689, 1926]",,"[2820, 2859, 2863, 2865]","A culinary and spiritual adventure of recipes, quotes, meditations, and traditions turns kitchen time into stress-free healing time, revealing cross-cultural cooking secrets, mystical food lore from the world's religions, and more than fifty unique vegetarian recipes. Original.",182.88,223.52,17.78,,,,1.0,9781577310921,,14f14ad7f14a35d5ba04029ec6f92793,full/0/e/b/0eb40a1e972966c1469cc44c8a930be326a98119.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5773/9781577310921.jpg,,,1577310926,9781577310921,en,1999-05-01 00:00:00,,3.65,34.0,The Sacred Kitchen : Higher Conciousness Cooking for Health and Wholeness,/Sacred-Kitchen-Robin-Robertson/9781577310921,312.98
